,Price,Boat Type,Manufacturer,Type,Year Built,Length,Width,Material,Location,Number of views last 7 days,Boat Type - 1st,Boat Type - 2nd,Boat Type - 3rd,Condition,Engine,Price Group,Age Group,PV Group,Age
35,3932,Cabin Boat,Draco power boats,"Used boat,Unleaded",1980,6.2,2.45,GRP,Switzerland,1804,Cabin Boat,,,Used boat,Unleaded,Lower_50K,31-50 years,Best,42
36,3932,Fishing Boat,Hensa  power boats,"Used boat,Unleaded",1974,5.4,1.67,Plastic,Switzerland,849,Fishing Boat,,,Used boat,Unleaded,Lower_50K,31-50 years,Good,48
37,3921,Sport Boat,Pioner power boats,new boat on order,0,3.93,1.55,unspecified,Switzerland,144,Sport Boat,,,new boat on order,,Lower_50K,0-5 years,More than avergae,0
38,3500,Center console boat,Ibis power boats,"Used boat,Unleaded",1983,4.4,1.5,GRP,Germany,133,Center console boat,,,Used boat,Unleaded,Lower_50K,31-50 years,More than avergae,39
39,3500,Sport Boat,Rio power boats,"Used boat,Unleaded",1991,4.0,1.62,unspecified,France,98,Sport Boat,,,Used boat,Unleaded,Lower_50K,16-30 years,Medium,31
40,3500,Cabin Boat,Jouandoudet power boats,"Used boat,Unleaded",1992,4.36,1.74,unspecified,France,393,Cabin Boat,,,Used boat,Unleaded,Lower_50K,16-30 years,Good,30
41,5885,Working Boat,Buster power boats,new boat from stock,2019,3.88,1.49,unspecified,United Kingdom,54,Working Boat,,,new boat from stock,,Lower_50K,0-5 years,Low,3
42,5500,Deck Boat,unspecified,new boat from stock,2017,4.3,3.5201240846216435,unspecified,Italy,201,Deck Boat,,,new boat from stock,,Lower_50K,0-5 years,Good,5
43,5500,Sport Boat,Corsiva power boats,new boat from stock,2018,5.2,2.2,GRP,Germany,186,Sport Boat,,,new boat from stock,,Lower_50K,0-5 years,Good,4
44,5500,Center console boat,Saver power boats,"Used boat,Unleaded",1997,4.4,1.78,PVC,Spain,118,Center console boat,,,Used boat,Unleaded,Lower_50K,16-30 years,More than avergae,25
45,5500,Sport Boat,Ilver power boats,Used boat,1961,5.5,2.06,GRP,Italy,74,Sport Boat,,,Used boat,,Lower_50K,51-100 years,Medium,61
46,6105,Sport Boat,Skibsplast power boats,Used boat,1980,5.85,2.23,GRP,Switzerland,543,Sport Boat,,,Used boat,,Lower_50K,31-50 years,Good,42
47,5450,Sport Boat,Allegra power boats,new boat from stock,2018,4.3,1.75,unspecified,Italy,57,Sport Boat,,,new boat from stock,,Lower_50K,0-5 years,Low,4
48,6053,Sport Boat,Marine power boats,new boat from stock,0,4.45,1.67,Aluminium,Switzerland,219,Sport Boat,,,new boat from stock,,Lower_50K,0-5 years,Good,0
49,5399,Fishing Boat,Linder power boats,new boat from stock,2018,4.01,1.64,Aluminium,Germany,67,Fishing Boat,,,new boat from stock,,Lower_50K,0-5 years,Low,4
50,5362,Deck Boat,unspecified,new boat from stock,2015,4.3,3.5201240846216435,unspecified,Denmark,217,Deck Boat,,,new boat from stock,,Lower_50K,6-15 years,Good,7
51,5898,Sport Boat,unspecified,"Used boat,Unleaded",2000,4.15,1.67,GRP,Switzerland,389,Sport Boat,,,Used boat,Unleaded,Lower_50K,16-30 years,Good,22
52,5250,Sport Boat,unspecified,"Used boat,Unleaded",1993,4.5,1.9,GRP,Germany,178,Sport Boat,,,Used boat,Unleaded,Lower_50K,16-30 years,Good,29
53,5200,Fishing Boat,Viking power boats,new boat from stock,2020,4.2,1.85,Aluminium,Germany,141,Fishing Boat,,,new boat from stock,,Lower_50K,0-5 years,More than avergae,2
54,5691,Sport Boat,Staempfli power boats,Used boat,1968,4.05,1.58,GRP,Switzerland,278,Sport Boat,,,Used boat,,Lower_50K,51-100 years,Good,54
55,5691,Runabout,Kimple power boats,new boat from stock,2020,4.0,1.65,Aluminium,Switzerland,99,Runabout,,,new boat from stock,,Lower_50K,0-5 years,Medium,2
56,7543,Sport Boat,Linder power boats,new boat from stock,0,4.51,1.75,Aluminium,Switzerland,195,Sport Boat,,,new boat from stock,,Lower_50K,0-5 years,Good,0
57,7450,Sport Boat,Fiberline power boats,"Used boat,Unleaded",1987,3.95,1.55,Plastic,Switzerland,1201,Sport Boat,,,Used boat,Unleaded,Lower_50K,31-50 years,Best,35
58,6653,Fishing Boat,Uttern power boats,Used boat,2007,5.0,2.0,unspecified,Denmark,204,Fishing Boat,,,Used boat,,Lower_50K,6-15 years,Good,15
59,6590,Runabout,Schweizer power boats,"Used boat,Unleaded",1972,5.5,1.9,GRP,Germany,277,Runabout,,,Used boat,Unleaded,Lower_50K,31-50 years,Good,50
60,6500,Cabin Boat,Cranchi power boats,"Used boat,Diesel",1990,6.28,2.27,GRP,Italy,85,Cabin Boat,,,Used boat,Diesel,Lower_50K,31-50 years,Medium,32
61,6500,Deck Boat,Corsiva power boats,new boat from stock,2018,5.7,2.2,GRP,Germany,122,Deck Boat,,,new boat from stock,,Lower_50K,0-5 years,More than avergae,4
62,6500,Pontoon Boat,Brig power boats,"Used boat,Unleaded",2010,5.0,2.15,GRP,Italy,183,Pontoon Boat,,,Used boat,Unleaded,Lower_50K,6-15 years,Good,12
63,6500,Cabin Boat,Dawncraft power boats,"Used boat,Unleaded",1968,8.0,2.1,GRP,Germany,289,Cabin Boat,,,Used boat,Unleaded,Lower_50K,51-100 years,Good,54
64,6500,Sport Boat,Invader power boats,"Used boat,Unleaded",1991,4.5,2.1,GRP,Austria,324,Sport Boat,,,Used boat,Unleaded,Lower_50K,16-30 years,Good,31
65,6500,Classic,unspecified,"Used boat,Unleaded",1975,6.67,2.04,Wood,Spain,184,Classic,,,Used boat,Unleaded,Lower_50K,31-50 years,Good,47
66,6490,Cabin Boat,Hille power boats,Unleaded,1994,4.75,1.86,GRP,Germany,126,Cabin Boat,,,Unleaded,,Lower_50K,16-30 years,More than avergae,28
67,7243,Sport Boat,Bienchen  power boats,Used boat,2018,3.2,1.5,GRP,Switzerland,238,Sport Boat,,,Used boat,,Lower_50K,0-5 years,Good,4
68,7243,Cabin Boat,Fjord power boats,"Used boat,Unleaded",1980,7.26,2.9,GRP,Switzerland,866,Cabin Boat,,,Used boat,Unleaded,Lower_50K,31-50 years,Good,42
69,7243,Bowrider,Ecofiber power boats,"Used boat,Unleaded",2000,4.15,1.65,GRP,Switzerland,574,Bowrider,,,Used boat,Unleaded,Lower_50K,16-30 years,Good,22
70,7800,Sport Boat,Pollini power boats,new boat from stock,2019,5.2,2.06,unspecified,Italy,119,Sport Boat,,,new boat from stock,,Lower_50K,0-5 years,More than avergae,3
71,8588,"Sport Boat,Working Boat",Italmarine power boats,"Used boat,Unleaded",1986,4.28,1.65,Aluminium,Switzerland,205,Sport Boat,Working Boat,,Used boat,Unleaded,Lower_50K,31-50 years,Good,36
72,7969,"Cabin Boat,Classic",unspecified,"Used boat,Unleaded",1941,8.23,2.65,Wood,United Kingdom,154,Cabin Boat,Classic,,Used boat,Unleaded,Lower_50K,51-100 years,More than avergae,81
73,8485,Pilothouse,Lambro power boats,Used boat,0,6.16,2.48,GRP,Switzerland,463,Pilothouse,,,Used boat,,Lower_50K,0-5 years,Good,0
74,7640,Deck Boat,Elan power boats,"Used boat,Unleaded",1985,4.5,2.1,GRP,Germany,200,Deck Boat,,,Used boat,Unleaded,Lower_50K,31-50 years,Good,37
75,8438,Bowrider,Terhi power boats,"new boat from stock,Unleaded",2020,4.45,1.85,Thermoplastic,Switzerland,462,Bowrider,,,new boat from stock,Unleaded,Lower_50K,0-5 years,Good,2
76,7500,Center console boat,Fletcher power boats,"Used boat,Unleaded",1996,4.5,1.7,GRP,Germany,201,Center console boat,,,Used boat,Unleaded,Lower_50K,16-30 years,Good,26
77,7500,Cabin Boat,unspecified,"Used boat,Diesel",1971,8.5,2.2,Steel,Netherlands,264,Cabin Boat,,,Used boat,Diesel,Lower_50K,31-50 years,Good,51
78,7500,Sport Boat,Sessa power boats,"Used boat,Unleaded",1997,5.8,2.2,unspecified,Italy,336,Sport Boat,,,Used boat,Unleaded,Lower_50K,16-30 years,Good,25
79,7500,Sport Boat,Fjord power boats,"Used boat,Unleaded",1971,5.7,2.2,GRP,Austria,137,Sport Boat,,,Used boat,Unleaded,Lower_50K,31-50 years,More than avergae,51
80,7500,Sport Boat,Ultramar power boats,"Used boat,Unleaded",1994,5.5,2.45,PVC,France,208,Sport Boat,,,Used boat,Unleaded,Lower_50K,16-30 years,Good,28
81,7500,Cabin Boat,Yachting France power boats,"Used boat,Unleaded",1981,6.4,2.54,GRP,France,189,Cabin Boat,,,Used boat,Unleaded,Lower_50K,31-50 years,Good,41
82,7500,Center console boat,B2 Marine power boats,"Used boat,Unleaded",2005,5.23,2.15,PVC,France,131,Center console boat,,,Used boat,Unleaded,Lower_50K,16-30 years,More than avergae,17
83,7500,Sport Boat,Volvo power boats,"Used boat,Unleaded",1995,5.8,2.28,GRP,Germany,490,Sport Boat,,,Used boat,Unleaded,Lower_50K,16-30 years,Good,27
84,7500,Catamaran,unspecified,Used boat,2010,4.4,3.0,unspecified,Netherlands,145,Catamaran,,,Used boat,,Lower_50K,6-15 years,More than avergae,12
85,8790,Sport Boat,Fiberline power boats,new boat from stock,2019,4.4,1.65,unspecified,Germany,96,Sport Boat,,,new boat from stock,,Lower_50K,0-5 years,Medium,3
86,9726,Sport Boat,Sunseeker power boats,"Used boat,Unleaded",1976,5.85,2.3,GRP,Switzerland,280,Sport Boat,,,Used boat,Unleaded,Lower_50K,31-50 years,Good,46
87,8600,Sport Boat,Mingolla power boats,Used boat,2019,5.0,2.1,unspecified,Italy,146,Sport Boat,,,Used boat,,Lower_50K,0-5 years,More than avergae,3
88,8600,Sport Boat,Allegra power boats,new boat from stock,2018,5.3,2.2,unspecified,Italy,166,Sport Boat,,,new boat from stock,,Lower_50K,0-5 years,More than avergae,4
89,9587,Sport Boat,Karel power boats,"new boat on order,Unleaded",2020,4.8,1.9,GRP,Switzerland,873,Sport Boat,,,new boat on order,Unleaded,Lower_50K,0-5 years,Good,2
90,9519,Sport Boat,Beekmann power boats,"Used boat,Unleaded",1990,5.18,2.18,GRP,Switzerland,258,Sport Boat,,,Used boat,Unleaded,Lower_50K,31-50 years,Good,32
91,8500,Deck Boat,Salmeri Boote power boats,new boat from stock,2018,5.53,2.18,unspecified,Italy,221,Deck Boat,,,new boat from stock,,Lower_50K,0-5 years,Good,4
92,8500,Runabout,unspecified,"Used boat,Unleaded",1975,4.0,1.62,GRP,Slovenia,110,Runabout,,,Used boat,Unleaded,Lower_50K,31-50 years,Medium,47
93,8500,Center console boat,B2 Marine power boats,"Used boat,Unleaded",2001,5.0,1.98,unspecified,France,96,Center console boat,,,Used boat,Unleaded,Lower_50K,16-30 years,Medium,21
94,8500,Center console boat,Allegra power boats,Used boat,2018,5.3,2.2,GRP,Italy,165,Center console boat,,,Used boat,,Lower_50K,0-5 years,More than avergae,4
95,8500,Sport Boat,Sunbird power boats,"Used boat,Unleaded",1994,5.74,2.31,PVC,France,78,Sport Boat,,,Used boat,Unleaded,Lower_50K,16-30 years,Medium,28
96,8500,Pilothouse,Jeanneau power boats,"Used boat,Unleaded",2006,5.8,2.5,PVC,France,116,Pilothouse,,,Used boat,Unleaded,Lower_50K,6-15 years,More than avergae,16
97,8500,Sport Boat,Hellwig power boats,"Used boat,Unleaded",2016,3.1,1.4,GRP,Germany,250,Sport Boat,,,Used boat,Unleaded,Lower_50K,0-5 years,Good,6
98,8500,Center console boat,Janmor power boats,"Used boat,Unleaded",2005,5.3,2.33,unspecified,France,173,Center console boat,,,Used boat,Unleaded,Lower_50K,16-30 years,More than avergae,17
99,8500,"Deck Boat,Pilothouse,Sport Boat",unspecified,"Used boat,Unleaded",1998,7.9,2.5,Aluminium,Germany,738,Deck Boat,Pilothouse,Sport Boat,Used boat,Unleaded,Lower_50K,16-30 years,Good,24
100,10865,Sport Boat,unspecified,"Used boat,Unleaded",2019,3.38,1.36,Wood,Switzerland,503,Sport Boat,,,Used boat,Unleaded,Lower_50K,0-5 years,Good,3
101,9750,Trawler,Gouwerok power boats,Used boat,1980,8.5,3.0,Steel,Netherlands,183,Trawler,,,Used boat,,Lower_50K,31-50 years,Good,42
102,10865,Fishing Boat,Marino CN power boats,"Used boat,Unleaded",2011,4.5,1.95,GRP,Switzerland,465,Fishing Boat,,,Used boat,Unleaded,Lower_50K,6-15 years,Good,11
103,10865,Fishing Boat,Orkney power boats,Used boat,2016,11.570017208219456,3.5201240846216435,unspecified,Switzerland,393,Fishing Boat,,,Used boat,,Lower_50K,0-5 years,Good,6
104,10813,Sport Boat,Marine power boats,new boat from stock,0,4.45,1.67,Aluminium,Switzerland,162,Sport Boat,,,new boat from stock,,Lower_50K,0-5 years,More than avergae,0
105,9650,Sport Boat,unspecified,"Used boat,Unleaded",1994,5.5,2.2,GRP,Germany,115,Sport Boat,,,Used boat,Unleaded,Lower_50K,16-30 years,More than avergae,28
106,10761,Sport Boat,Draco power boats,"Used boat,Unleaded",1984,6.0,2.3,GRP,Switzerland,418,Sport Boat,,,Used boat,Unleaded,Lower_50K,31-50 years,Good,38
107,9599,Cabin Boat,Crescent power boats,Unleaded,1992,5.65,2.2,GRP,Germany,185,Cabin Boat,,,Unleaded,,Lower_50K,16-30 years,Good,30
108,9575,Sport Boat,Sting power boats,new boat from stock,2016,4.88,2.03,GRP,Germany,64,Sport Boat,,,new boat from stock,,Lower_50K,0-5 years,Low,6
109,10709,Sport Boat,Linder power boats,new boat from stock,0,4.51,1.75,Aluminium,Switzerland,168,Sport Boat,,,new boat from stock,,Lower_50K,0-5 years,More than avergae,0
110,9553,Motor Yacht,Moonday power boats,new boat from stock,2019,4.8,2.0,GRP,Netherlands,91,Motor Yacht,,,new boat from stock,,Lower_50K,0-5 years,Medium,3
111,9500,Cabin Boat,Gouwerok power boats,Used boat,1964,8.4,2.85,Steel,Netherlands,138,Cabin Boat,,,Used boat,,Lower_50K,51-100 years,More than avergae,58
112,9500,Sport Boat,Trimarchi  power boats,"new boat from stock,Gas",2019,5.7,2.1,GRP,Italy,184,Sport Boat,,,new boat from stock,Gas,Lower_50K,0-5 years,Good,3
113,9500,Motor Yacht,Cox Marine power boats,"Used boat,Diesel",1985,6.8,2.5,GRP,Germany,162,Motor Yacht,,,Used boat,Diesel,Lower_50K,31-50 years,More than avergae,37
114,9500,Cabin Boat,unspecified,Used boat,1975,9.0,3.0,Steel,Netherlands,303,Cabin Boat,,,Used boat,,Lower_50K,31-50 years,Good,47
115,9500,Launch,Majoni power boats,Used boat,1998,3.99,1.74,unspecified,Spain,96,Launch,,,Used boat,,Lower_50K,16-30 years,Medium,24
116,11382,Sport Boat,Supra power boats,"Used boat,Unleaded",1991,6.18,2.42,GRP,Switzerland,256,Sport Boat,,,Used boat,Unleaded,Lower_50K,16-30 years,Good,31
117,11382,Pontoon Boat,MÃ¤ndli power boats,Used boat,2006,7.0,1.9,Wood,Switzerland,230,Pontoon Boat,,,Used boat,,Lower_50K,6-15 years,Good,16
118,11382,Fishing Boat,MÃ¤ndli power boats,"Used boat,Unleaded",2006,6.0,1.6,GRP,Switzerland,182,Fishing Boat,,,Used boat,Unleaded,Lower_50K,6-15 years,Good,16
119,11372,Sport Boat,Buster power boats,new boat from stock,0,4.43,1.82,Aluminium,Switzerland,109,Sport Boat,,,new boat from stock,,Lower_50K,0-5 years,Medium,0
120,10115,Sport Boat,Italmar power boats,new boat from stock,2020,4.99,2.1,GRP,Germany,115,Sport Boat,,,new boat from stock,,Lower_50K,0-5 years,More than avergae,2
121,11278,Runabout,Safter Marine power boats,new boat on order,2020,4.5,1.65,GRP,Switzerland,159,Runabout,,,new boat on order,,Lower_50K,0-5 years,More than avergae,2
122,11278,Sport Boat,Century power boats,"Used boat,Unleaded",1994,5.51,2.21,unspecified,Switzerland,1057,Sport Boat,,,Used boat,Unleaded,Lower_50K,16-30 years,Best,28
123,10000,Sport Boat,Bayliner power boats,"Used boat,Unleaded",1993,8.5,2.6,GRP,Italy,585,Sport Boat,,,Used boat,Unleaded,Lower_50K,16-30 years,Good,29
124,10000,Sport Boat,Cigala & Bertinetti power boats,"Used boat,Unleaded",1979,7.25,2.37,GRP,Italy,185,Sport Boat,,,Used boat,Unleaded,Lower_50K,31-50 years,Good,43
125,10000,Sport Boat,Allegra power boats,new boat from stock,2018,5.9,2.38,unspecified,Italy,155,Sport Boat,,,new boat from stock,,Lower_50K,0-5 years,More than avergae,4
126,10000,Trawler,unspecified,Used boat,1978,7.8,2.45,Steel,Netherlands,186,Trawler,,,Used boat,,Lower_50K,31-50 years,Good,44
127,10000,Working Boat,Costruzioni Navali Srl power boats,"Used boat,Diesel",1975,12.0,3.0,Steel,Italy,182,Working Boat,,,Used boat,Diesel,Lower_50K,31-50 years,Good,47
128,10000,"Cabin Boat,Trawler",Werner  power boats,"Used boat,Diesel",1940,12.5,2.5,Steel,Germany,900,Cabin Boat,Trawler,,Used boat,Diesel,Lower_50K,51-100 years,Good,82
129,10000,Sport Boat,A. Mostes power boats,"Used boat,Unleaded",1991,7.15,2.36,GRP,Italy,783,Sport Boat,,,Used boat,Unleaded,Lower_50K,16-30 years,Good,31
130,10000,Sport Boat,Bayliner power boats,Used boat,1995,7.02,2.52,PVC,France,175,Sport Boat,,,Used boat,,Lower_50K,16-30 years,More than avergae,27
131,10000,Cabin Boat,Bayliner power boats,"Used boat,Unleaded",1995,7.02,2.52,PVC,France,207,Cabin Boat,,,Used boat,Unleaded,Lower_50K,16-30 years,Good,27
132,11000,Sport Boat,Bayliner power boats,Used boat,1988,6.3,2.34,GRP,Italy,284,Sport Boat,,,Used boat,,Lower_50K,31-50 years,Good,34
133,11000,Motor Yacht,Chrysler power boats,"Used boat,Unleaded",1974,4.9,2.1,GRP,Germany,125,Motor Yacht,,,Used boat,Unleaded,Lower_50K,31-50 years,More than avergae,48
134,11000,Cabin Boat,Stingray power boats,Used boat,1997,6.5,2.4,GRP,Italy,229,Cabin Boat,,,Used boat,,Lower_50K,16-30 years,Good,25
135,11000,Sport Boat,Bayliner power boats,"Used boat,Unleaded",1996,7.03,2.54,PVC,France,226,Sport Boat,,,Used boat,Unleaded,Lower_50K,16-30 years,Good,26
136,11000,"Bowrider,Classic",Sunbird power boats,"Used boat,Unleaded",1971,5.79,2.2,Wood,France,87,Bowrider,Classic,,Used boat,Unleaded,Lower_50K,31-50 years,Medium,51
137,11000,Sport Boat,Mery Nautic power boats,"Used boat,Unleaded",1999,5.2,2.15,unspecified,France,95,Sport Boat,,,Used boat,Unleaded,Lower_50K,16-30 years,Medium,23
138,11000,Cabin Boat,Glastron power boats,"Used boat,Unleaded",1998,6.13,2.39,GRP,Italy,175,Cabin Boat,,,Used boat,Unleaded,Lower_50K,16-30 years,More than avergae,24
139,11000,Sport Boat,Sea Ray power boats,"Used boat,Unleaded",1992,7.8,2.59,GRP,Italy,173,Sport Boat,,,Used boat,Unleaded,Lower_50K,16-30 years,More than avergae,30
140,11000,"Motor Yacht,Sport Boat",Rio power boats,"Used boat,Unleaded",2000,6.0,2.4,GRP,Spain,422,Motor Yacht,Sport Boat,,Used boat,Unleaded,Lower_50K,16-30 years,Good,22
141,11000,Cabin Boat,Birchwood power boats,"Used boat,Unleaded",1986,7.4,2.5,GRP,Germany,243,Cabin Boat,,,Used boat,Unleaded,Lower_50K,31-50 years,Good,36
142,11000,Sport Boat,Bayliner power boats,Used boat,1987,7.62,2.97,GRP,Netherlands,254,Sport Boat,,,Used boat,,Lower_50K,31-50 years,Good,35
143,10999,Deck Boat,Quicksilver (Brunswick Marine) power boats,new boat from stock,2020,5.07,2.12,GRP,Germany,150,Deck Boat,,,new boat from stock,,Lower_50K,0-5 years,More than avergae,2
144,10999,Sport Boat,BlueCraft power boats,"new boat from stock,Unleaded",2020,5.1,2.1,GRP,Germany,255,Sport Boat,,,new boat from stock,Unleaded,Lower_50K,0-5 years,Good,2
145,10999,Sport Boat,Remus power boats,new boat from stock,2020,5.2,2.22,GRP,Germany,179,Sport Boat,,,new boat from stock,,Lower_50K,0-5 years,Good,2
146,10990,Cabin Boat,Quicksilver power boats,"Used boat,Unleaded",2003,4.7,2.3,GRP,Germany,169,Cabin Boat,,,Used boat,Unleaded,Lower_50K,16-30 years,More than avergae,19
147,10990,Cabin Boat,Polar power boats,Diesel,1977,6.7,2.3,GRP,Germany,136,Cabin Boat,,,Diesel,,Lower_50K,31-50 years,More than avergae,45
148,12000,Sport Boat,BÃ©nÃ©teau power boats,"Used boat,Unleaded",1993,7.75,2.75,PVC,France,141,Sport Boat,,,Used boat,Unleaded,Lower_50K,16-30 years,More than avergae,29
149,12000,"Classic,Runabout,Sport Boat",Cranchi power boats,"Used boat,Unleaded",1990,6.43,2.25,GRP,Serbia,442,Classic,Runabout,Sport Boat,Used boat,Unleaded,Lower_50K,31-50 years,Good,32
150,12000,Cabin Boat,unspecified,"Used boat,Unleaded",1973,7.0,1.9,Wood,Germany,241,Cabin Boat,,,Used boat,Unleaded,Lower_50K,31-50 years,Good,49
151,12000,Cabin Boat,Wiking power boats,"Used boat,Diesel",1979,6.5,2.2,GRP,Germany,327,Cabin Boat,,,Used boat,Diesel,Lower_50K,31-50 years,Good,43
